id_fornecedor,nome,cnpj,email,telefone
1,Tech Import,12345678000101,contato@techimport.com,11987654321
2,Global Distribuidora,22345678000102,atendimento@globaldist.com,11996543210
3,Digital World,32345678000103,suporte@digitalworld.com,21988776655
4,Electro House,42345678000104,vendas@electrohouse.com,31999887766
5,Prime Solutions,52345678000105,comercial@primesolutions.com,11977778888
6,Max Supply,62345678000106,contato@maxsupply.com,21997665544
7,Center Shop Distribuidora,72345678000107,relacionamento@centershop.com,31988775544
8,Unitech Brasil,82345678000108,unitech@unitechbr.com,11988774433
9,Master Tools,92345678000109,master@mastertools.com,21997664433
10,Book House Distribuidora,10345678000100,livros@bookhouse.com,11998877665
